DATE,Y006RA3A086NBEA
1929-01-01,0.89
1930-01-01,0.988
1931-01-01,1.195
1932-01-01,1.192
1933-01-01,1.207
1934-01-01,1.372
1935-01-01,1.473
1936-01-01,1.497
1937-01-01,1.505
1938-01-01,1.703
1939-01-01,1.625
1940-01-01,1.876
1941-01-01,2.745
1942-01-01,2.575
1943-01-01,1.684
1944-01-01,1.659
1945-01-01,1.69
1946-01-01,2.607
1947-01-01,2.994
1948-01-01,3.041
1949-01-01,2.632
1950-01-01,3.097
1951-01-01,3.285
1952-01-01,4.467
1953-01-01,5.624
1954-01-01,5.967
1955-01-01,6.166
1956-01-01,7.87
1957-01-01,8.023
1958-01-01,8.492
1959-01-01,9.161
1960-01-01,10.095
1961-01-01,10.708
1962-01-01,11.596
1963-01-01,12.451
1964-01-01,13.422
1965-01-01,15.039
1966-01-01,16.762
1967-01-01,18.523
1968-01-01,20.035
1969-01-01,21.347
1970-01-01,21.429
1971-01-01,21.401
1972-01-01,22.403
1973-01-01,23.903
1974-01-01,24.001
1975-01-01,23.611
1976-01-01,25.104
1977-01-01,26.446
1978-01-01,28.515
1979-01-01,30.626
1980-01-01,32.673
1981-01-01,34.777
1982-01-01,36.593
1983-01-01,38.647
1984-01-01,42.601
1985-01-01,46.251
1986-01-01,48.161
1987-01-01,49.083
1988-01-01,51.101
1989-01-01,54.414
1990-01-01,57.298
1991-01-01,59.879
1992-01-01,60.045
1993-01-01,59.682
1994-01-01,59.67
1995-01-01,62.729
1996-01-01,68.245
1997-01-01,72.05
1998-01-01,75.681
1999-01-01,80.293
2000-01-01,84.29
2001-01-01,85.401
2002-01-01,83.167
2003-01-01,82.566
2004-01-01,83.413
2005-01-01,88.33
2006-01-01,93.878
2007-01-01,99.501
2008-01-01,102.839
2009-01-01,100
2010-01-01,102.351
2011-01-01,103.336
2012-01-01,106.049
2013-01-01,110.947
2014-01-01,114.041
2015-01-01,117.993
