DATE,Y694RX1A020NBEA
1929-01-01,2.6
1930-01-01,3.1
1931-01-01,3.7
1932-01-01,4
1933-01-01,4
1934-01-01,4.1
1935-01-01,4.4
1936-01-01,4.5
1937-01-01,4.5
1938-01-01,5.1
1939-01-01,5.1
1940-01-01,5.8
1941-01-01,9.8
1942-01-01,10.8
1943-01-01,11.7
1944-01-01,14.9
1945-01-01,15
1946-01-01,15.9
1947-01-01,15.9
1948-01-01,17
1949-01-01,16.8
1950-01-01,18.6
1951-01-01,19.4
1952-01-01,23.4
1953-01-01,27.6
1954-01-01,30.3
1955-01-01,33.3
1956-01-01,43.1
1957-01-01,48.1
1958-01-01,51.2
1959-01-01,55
1960-01-01,60.6
1961-01-01,66.4
1962-01-01,73.2
1963-01-01,83.6
1964-01-01,90.9
1965-01-01,98.7
1966-01-01,109.4
1967-01-01,116.3
1968-01-01,121.5
1969-01-01,123.7
1970-01-01,118.4
1971-01-01,116.3
1972-01-01,120.6
1973-01-01,123
1974-01-01,119.8
1975-01-01,118.4
1976-01-01,124.8
1977-01-01,130.5
1978-01-01,138.2
1979-01-01,145.8
1980-01-01,152.1
1981-01-01,159.6
1982-01-01,165.7
1983-01-01,175
1984-01-01,190.2
1985-01-01,208.8
1986-01-01,217.3
1987-01-01,226.3
1988-01-01,229
1989-01-01,233.3
1990-01-01,239.8
1991-01-01,240.9
1992-01-01,238
1993-01-01,234.4
1994-01-01,233.3
1995-01-01,238.7
1996-01-01,251.2
1997-01-01,259.7
1998-01-01,268.6
1999-01-01,280.4
2000-01-01,292
2001-01-01,300.4
2002-01-01,304.2
2003-01-01,312.6
2004-01-01,320.7
2005-01-01,336.6
2006-01-01,352.6
2007-01-01,368.8
2008-01-01,378.4
2009-01-01,374.8
2010-01-01,382
2011-01-01,382.6
2012-01-01,383.5
2013-01-01,391.8
2014-01-01,393.3
2015-01-01,401.8
